process (yes if 1),Site Name,start_date,end_date,satellite,tile,resolution (m),flag
0,_v13,2019-01-01,2019-12-31,S2,31UCQ,20,1
0,_v13,2019-01-01,2019-12-31,S2,31UDQ,20,1
0,_v13,2019-01-01,2019-12-31,S2,31UFP,20,1
1,_v13,2018-01-01,2018-12-31,S2,31UEP,20,1
1,_v13,2019-01-01,2019-12-31,S2,31UEP,20,1
1,_v13,2020-01-01,2020-12-31,S2,31UEP,20,1
0,_v13,2019-01-01,2019-12-31,S2,31UDP,20,1
