process,Site.Name,start_date,end_date,satellite,tile,resolution..m.,flag
1,_v14,2015-01-01,2016-12-31,S2,57WWS,20,1
1,_v14,2015-01-01,2016-12-31,S2,51WWQ,20,1
1,_v14,2015-01-01,2016-12-31,S2,08WNV,20,1
1,_v14,2015-01-01,2016-12-31,S2,45WVT,20,1
1,_v14,2015-01-01,2016-12-31,S2,41WPP,20,1
1,_v14,2015-01-01,2016-12-31,S2,41WPQ,20,1
1,_v14,2015-01-01,2016-12-31,S2,03VXJ,20,1
