process (yes if 1),Site Name,start_date,end_date,satellite,tile,Latitude,Longitude,resolution (m)
1,JIRAU_T20LKQ,2016-01-01,2017-12-31,S2,20LKQ,-9.535,-65.233,20
1,JIRAU_T20LLQ,2016-01-01,2017-12-31,S2,20LLQ,-9.54,-64.322,20
