process (yes if 1),Site Name,start_date,end_date,satellite,tile,resolution (m),flag
0,_v13,2020-01-01,2020-12-31,S2,21MYT,20,1
1,_v13,2021-01-01,2021-12-31,S2,21MYT,20,1
0,_v13,2022-01-01,2022-01-31,S2,21MYT,20,1
0,_v13,2020-06-20,2022-06-24,S2,17RNK,20,1

