wl mean sd sem
300 1.73573791899089 NA NA
301 1.73350237602467 NA NA
302 1.73129652006084 NA NA
303 1.72911982017125 NA NA
304 1.72697175689247 NA NA
305 1.72485182193865 NA NA
306 1.72275951792146 NA NA
307 1.72069435807896 NA NA
308 1.71865586601117 NA NA
309 1.71664357542437 NA NA
310 1.71465702988126 NA NA
311 1.71269578255914 NA NA
312 1.71075939601439 NA NA
313 1.70884744195333 NA NA
314 1.70695950101015 NA NA
315 1.7050951625301 NA NA
316 1.70325402435938 NA NA
317 1.70143569264055 NA NA
318 1.69963978161306 NA NA
319 1.69786591342038 NA NA
320 1.69611371792099 NA NA
321 1.69438283250563 NA NA
322 1.69267290191887 NA NA
323 1.69098357808562 NA NA
324 1.68931451994245 NA NA
325 1.68766539327314 NA NA
326 1.68603587054873 NA NA
327 1.6844256307723 NA NA
328 1.6828343593268 NA NA
329 1.68126174782797 NA NA
330 1.6797074939804 NA NA
331 1.67817130143806 NA NA
332 1.67665287966759 NA NA
333 1.67515194381572 NA NA
334 1.67366821458039 NA NA
335 1.67220141808443 NA NA
336 1.67075128575319 NA NA
337 1.66931755419496 NA NA
338 1.66789996508465 NA NA
339 1.66649826504998 NA NA
340 1.6651122055616 NA NA
341 1.6637415428246 NA NA
342 1.66238603767407 NA NA
343 1.66104545547248 NA NA
344 1.65971956600977 NA NA
345 1.65840814340649 NA NA
346 1.65711096601843 NA NA
347 1.65582781634454 NA NA
348 1.65455848093638 NA NA
349 1.65330275031067 NA NA
350 1.6520604188629 NA NA
351 1.65083128478414 NA NA
352 1.64961514997909 NA NA
353 1.64841181998683 NA NA
354 1.64722110390274 NA NA
355 1.64604281430291 NA NA
356 1.64487676717031 NA NA
357 1.64372278182236 NA NA
358 1.64258068084079 NA NA
359 1.64145029000262 NA NA
360 1.64033143821331 NA NA
361 1.63922395744126 NA NA
362 1.6381276826537 NA NA
363 1.63704245175457 NA NA
364 1.63596810552341 NA NA
365 1.63490448755576 NA NA
366 1.63385144420557 NA NA
367 1.63280882452776 NA NA
368 1.63177648022355 NA NA
369 1.63075426558588 NA NA
370 1.62974203744667 NA NA
371 1.62873965512527 NA NA
372 1.62774698037821 NA NA
373 1.62676387734948 NA NA
374 1.62579021252294 NA NA
375 1.6248258546749 NA NA
376 1.62387067482836 NA NA
377 1.62292454620811 NA NA
378 1.62198734419678 NA NA
379 1.62105894629214 NA NA
380 1.62013923206484 NA NA
381 1.61922808311781 NA NA
382 1.61832538304621 NA NA
383 1.61743101739781 NA NA
384 1.61654487363545 NA NA
385 1.61566684109896 NA NA
386 1.61479681096907 NA NA
387 1.61393467623125 NA NA
388 1.61308033164105 NA NA
389 1.61223367368971 NA NA
390 1.61139460057073 NA NA
391 1.61056301214729 NA NA
392 1.60973880991994 NA NA
393 1.60892189699572 NA NA
394 1.60811217805712 NA NA
395 1.60730955933235 NA NA
396 1.60651394856602 NA NA
397 1.60572525499046 NA NA
398 1.6049433892976 NA NA
399 1.6041682636114 NA NA
400 1.60339979146137 NA NA
401 1.60263788775586 NA NA
402 1.60188246875655 NA NA
403 1.60113345205324 NA NA
404 1.60039075653907 NA NA
405 1.59965430238646 NA NA
406 1.59892401102384 NA NA
407 1.59819980511169 NA NA
408 1.59748160852077 NA NA
409 1.59676934630941 NA NA
410 1.59606294470207 NA NA
411 1.59536233106799 NA NA
412 1.59466743390023 NA NA
413 1.59397818279563 NA NA
414 1.59329450843469 NA NA
415 1.59261634256171 NA NA
416 1.59194361796631 NA NA
417 1.59127626846395 NA NA
418 1.59061422887823 NA NA
419 1.58995743502222 NA NA
420 1.58930582368139 NA NA
421 1.58865933259616 NA NA
422 1.58801790044477 NA NA
423 1.58738146682707 NA NA
424 1.58674997224796 NA NA
425 1.58612335810155 NA NA
426 1.58550156665561 NA NA
427 1.58488454103643 NA NA
428 1.58427222521348 NA NA
429 1.58366456398496 NA NA
430 1.5830615029634 NA NA
431 1.58246298856142 NA NA
432 1.58186896797823 NA NA
433 1.58127938918547 NA NA
434 1.58069420091456 NA NA
435 1.58011335264338 NA NA
436 1.57953679458323 NA NA
437 1.57896447766692 NA NA
438 1.57839635353596 NA NA
439 1.57783237452873 NA NA
440 1.57727249366859 NA NA
441 1.57671666465246 NA NA
442 1.57616484183926 NA NA
443 1.57561698023879 NA NA
444 1.57507303550098 NA NA
445 1.57453296390506 NA NA
446 1.57399672234898 NA NA
447 1.57346426833917 NA NA
448 1.57293555998045 NA NA
449 1.57241055596604 NA NA
450 1.57188921556796 NA NA
451 1.57137149862708 NA NA
452 1.57085736554431 NA NA
453 1.57034677727116 NA NA
454 1.56983969530041 NA NA
455 1.56933608165774 NA NA
456 1.56883589889286 NA NA
