process (yes if 1),Site Name,start_date,end_date,satellite,tile,Latitude,Longitude,resolution (m)
0,thau,2020-07-10,2020-07-31,S2,31TEJ,43.75,3.7,20
0,leman,2021-07-01,2021-09-15,S2,31TGM,46.4,6.2,20
1,berre,2021-01-01,2021-09-15,S2,31TFJ,43.7,4.9,20
0,nice,2020-01-01,2020-12-31,S2,32TLP,43.7,7.2,20
0,natron,2020-01-01,2020-12-31,S2,36MZC,-2.4,36.1,20
0,aaot,2020-01-01,2020-12-31,S2,32TQR,45.5,12.3,20
